"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"scam","scam","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2-5",NA,"R (>= 2.15.0), mgcv (>= 1.8-2)","methods, stats, graphics, Matrix, splines",NA,"nlme",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"scatterplot3d","scatterplot3d","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3-41",NA,"R (>= 2.7.0)","grDevices, graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"scoring","scoring","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.6",NA,NA,NA,NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"scs","scs","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3-2",NA,"R (>= 2.15)",NA,NA,"slam, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"seacarb","seacarb","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.2.13",NA,"R (>= 2.10), oce, gsw",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"seasonal","seasonal","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.7.0",NA,"R (>= 2.15)","x13binary",NA,"seasonalview (>= 0.1.3)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"selectr","selectr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","3.6.1"
"semver","semver","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.0",NA,NA,"Rcpp (>= 0.12.8), assertthat, utils","Rcpp","testthat, covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"servr","servr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.16",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.4.0), xfun, jsonlite",NA,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"sessioninfo","sessioninfo","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.1",NA,NA,"cli, tools, utils, withr",NA,"callr, covr, mockery, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"setRNG","setRNG","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2013.9-1",NA,"R (>= 2.5.0)",NA,NA,NA,NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"sf","sf","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9-1",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), stats, tools, units (>= 0.6-0),
utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, microbenchmark, odbc, pillar, pool,
raster, rgdal, rgeos, rlang, rmarkdown, RPostgres (>= 1.1.0),
RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat, spatstat.utils,
stars (>= 0.2-0), testthat, tibble (>= 1.4.1), tidyr (>=
1.0-0), tmap (>= 2.0), vctrs",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"sfheaders","sfheaders","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.1",NA,NA,"Rcpp","Rcpp","covr, knitr, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"sfsmisc","sfsmisc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1-6",NA,"R (>= 3.2.0)","grDevices, methods, utils, stats",NA,"datasets, tcltk, cluster, lattice, MASS, Matrix, nlme, lokern","mgcv, rpart, nor1mix, polycor, sm, tikzDevice","GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"sgeostat","sgeostat","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-27",NA,"stats, grDevices, graphics, R (>= 2.0.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"shape","shape","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.4",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"shapefiles","shapefiles","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.7",NA,"R (>= 1.6.0), foreign",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.6.1"
"shiny","shiny","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.0.2",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, digest, htmltools (>= 0.4.0), R6 (>= 2.0),
sourcetools, later (>= 1.0.0), promises (>= 1.1.0), tools,
crayon, rlang (>= 0.4.0), fastmap (>= 1.0.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 2.1.1), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, yaml",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"shinyBS","shinyBS","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.61",NA,NA,"shiny (>= 0.11), htmltools",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"shinycssloaders","shinycssloaders","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3",NA,"R (>= 3.1)","digest, glue, grDevices, shiny",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"shinydashboard","shinydashboard","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.7.1",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"shinyFiles","shinyFiles","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.7.5",NA,NA,"htmltools, jsonlite, tools, shiny (>= 1.1.0), fs (>= 1.2.6),
tibble (>= 1.4.2)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"shinyjs","shinyjs","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1",NA,"R (>= 3.1.0)","digest (>= 0.6.8), htmltools (>= 0.2.9), jsonlite, shiny (>=
1.0.0)",NA,"knitr (>= 1.7), rmarkdown, shinyAce, testthat (>= 0.9.1), V8
(>= 0.6)",NA,"AGPL-3",NA,NA,NA,NA,"no","3.6.1"
"shinystan","shinystan","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.5.0",NA,"R (>= 3.1.0), shiny (>= 1.0.3)","bayesplot (>= 1.5.0), colourpicker, DT (>= 0.2), dygraphs (>=
1.1.1.2), ggplot2 (>= 2.1.1), gridExtra, gtools, markdown (>=
0.7.4), methods, reshape2, rsconnect (>= 0.4.2), rstan (>=
2.17.1), stats, shinyjs (>= 0.6.0), shinythemes (>= 1.0.1),
threejs (>= 0.2.1), utils, xtable, xts (>= 0.9-7)",NA,"coda, knitr (>= 1.9), rmarkdown (>= 0.8.1), rstanarm (>=
2.17.4), testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"shinythemes","shinythemes","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.2",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"shinyWidgets","shinyWidgets","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.1",NA,"R (>= 3.1.0)","shiny (>= 0.14), htmltools, jsonlite, grDevices, scales",NA,"shinydashboard, testthat, covr, shinydashboardPlus, bs4Dash,
argonR, argonDash, tablerDash, ggplot2, DT",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"showtext","showtext","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.7-1",NA,"sysfonts (>= 0.7.1), showtextdb (>= 2.0)","grDevices",NA,"knitr, rmarkdown, prettydoc, curl, jsonlite",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","3.6.1"
"showtextdb","showtextdb","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0",NA,NA,"sysfonts (>= 0.7.1), utils",NA,"curl",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","3.6.1"
"skimr","skimr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.1",NA,"R (>= 3.1.2)","cli, crayon, dplyr (>= 0.8.0), knitr (>= 1.2), magrittr (>=
1.5), purrr, repr, rlang (>= 0.3.1), stats, stringr (>= 1.1),
tibble (>= 2.0.0), tidyr (>= 1.0), tidyselect (>= 0.2.5), withr",NA,"covr, extrafont, rmarkdown, sf, testthat (>= 2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"slam","slam","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1-47",NA,"R (>= 3.4.0)","stats",NA,NA,"Matrix, SparseM, spam","GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"sm","sm","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.2-5.6",NA,"R (>= 3.1.0)",NA,NA,"rgl, misc3d, akima, gam, tkrplot, rpanel (>= 1.1-4), tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"smoof","smoof","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.6.0.2",NA,"ParamHelpers (>= 1.8), checkmate (>= 1.1)","BBmisc (>= 1.6), ggplot2 (>= 2.2.1), RColorBrewer, plot3D,
plotly, mco, Rcpp (>= 0.11.0), RJSONIO","Rcpp, RcppArmadillo","testthat, rPython (>= 0.0-5)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"sna","sna","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.5",NA,"R (>= 2.0.0), utils, statnet.common, network",NA,NA,"rgl, numDeriv, SparseM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"snakecase","snakecase","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.11.0",NA,"R (>= 3.2)","stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"SnowballC","SnowballC","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.7.0",NA,NA,NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"som","som","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3-5.1",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"sourcetools","sourcetools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.7",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"sp","sp","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4-1",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"spacetime","spacetime","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2-3",NA,"R (>= 3.0.0)","graphics, utils, stats, methods, lattice, sp (>= 1.1-0), zoo
(>= 1.7-9), xts (>= 0.8-8), intervals",NA,"adehabitatLT, cshapes, diveMove, foreign, gstat (>= 1.0-16),
maps, mapdata, maptools, plm, raster, RColorBrewer, rgdal,
rgeos, RPostgreSQL, knitr, googleVis, ISOcodes",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"spam","spam","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.5-1",NA,"R (>= 3.1), dotCall64, grid, methods",NA,NA,"spam64, fields, SparseM, Matrix, testthat, R.rsp, truncdist,
knitr, rmarkdown",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"sparklyr","sparklyr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,"R (>= 3.2)","assertthat, base64enc, config (>= 0.2), DBI (>= 0.6-1), dplyr
(>= 0.7.2), dbplyr (>= 1.1.0), digest, forge, generics, httr
(>= 1.2.1), jsonlite (>= 1.4), methods, openssl (>= 0.8),
purrr, r2d3, rappdirs, rlang (>= 0.1.4), rprojroot, rstudioapi
(>= 0.10), tibble, tidyr, withr, xml2, ellipsis (>= 0.1.0)",NA,"broom, ggplot2, janeaustenr, Lahman, mlbench, nnet,
nycflights13, R6, RCurl, reshape2, shiny (>= 1.0.1), testthat",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"SparseM","SparseM","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.78",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"spatial.tools","spatial.tools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.6.2",NA,NA,"compiler,doParallel,foreach,iterators,mmap,raster,rgdal,sp,abind",NA,"randomForestSRC,randomForest",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"spatialwidget","spatialwidget","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.2",NA,"R (>= 3.3.0)","Rcpp","BH, colourvalues (>= 0.3.4), geojsonsf (>= 1.3.3), jsonify
(>= 1.1.1), rapidjsonr, Rcpp, sfheaders (>= 0.2.1)","colourvalues, covr, geojsonsf, jsonify, sfheaders, knitr,
rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"spatstat","spatstat","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.63-3",NA,"R (>= 3.3.0), spatstat.data (>= 1.4-2), stats, graphics,
grDevices, utils, methods, nlme, rpart","spatstat.utils (>= 1.17-0), mgcv, Matrix, deldir (>= 0.0-21),
abind, tensor, polyclip (>= 1.10-0), goftest (>= 1.2-2)",NA,"sm, maptools, gsl, locfit, spatial, rpanel, tkrplot,
RandomFields (>= 3.1.24.1), RandomFieldsUtils(>= 0.3.3.1),
fftwtools (>= 0.9-8)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"spatstat.data","spatstat.data","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4-3",NA,"R (>= 3.3.0)","spatstat.utils, Matrix",NA,"spatstat (>= 1.55-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"spatstat.utils","spatstat.utils","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.17-0",NA,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"spData","spData","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.5",NA,"R (>= 3.3.0)","sp, raster",NA,"foreign, maptools, rgdal, sf, spDataLarge (>= 0.3.0), spdep,
spatialreg",NA,"CC0",NA,NA,NA,NA,"no","3.6.1"
"spdep","spdep","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1-3",NA,"R (>= 3.3.0), methods, sp (>= 1.0), spData (>= 0.2.6.0), sf","deldir, boot (>= 1.3-1), graphics, grDevices, utils, stats,
Matrix, LearnBayes, MASS, coda, expm, gmodels, nlme",NA,"spatialreg (>= 1.1-1), parallel, RANN, rgeos, RColorBrewer,
lattice, xtable, maptools (>= 0.5-4), foreign, igraph,
RSpectra, knitr, rgdal, classInt, tmap, spam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"splancs","splancs","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.01-40",NA,"R (>= 2.10.0), sp (>= 0.9)","stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"splus2R","splus2R","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2-2",NA,"R (>= 2.7.2)","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"SQUAREM","SQUAREM","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2020.2",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"stabledist","stabledist","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.7-1",NA,"R (>= 3.1.0)","stats",NA,"Matrix, fBasics, FMStable, RUnit, Rmpfr, sfsmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"StanHeaders","StanHeaders","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.19.2",NA,"R (>= 3.4.0)",NA,NA,"Rcpp, RcppEigen, BH, knitr (>= 1.15.1), rmarkdown, Matrix,
methods, rstan",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"stars","stars","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4-1",NA,"R (>= 3.3.0), abind, sf (>= 0.9-0)","methods, parallel, classInt (>= 0.4-1), lwgeom, rlang, units",NA,"PCICt, RNetCDF (>= 1.8-2), covr, digest, dplyr (>= 0.7-0),
cubelyr, future.apply, ggforce, ggplot2, ggthemes, gstat, httr,
jsonlite, knitr, maps, ncdfgeom, ncmeta (>= 0.0.3), pbapply,
plm, raster, rmarkdown, sp, spacetime, spatstat, starsdata,
testthat, viridis, xts, zoo",NA,"Apache License",NA,NA,NA,NA,"no","3.6.1"
"statmod","statmod","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.34",NA,"R (>= 3.0.0)","stats, graphics",NA,"MASS, tweedie",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"statnet.common","statnet.common","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.3.0",NA,"R (>= 3.5)","utils, methods, coda, parallel, tools",NA,"covr",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"stopwords","stopwords","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0",NA,"R (>= 2.10)","ISOcodes",NA,"covr, lintr, quanteda, spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"stringdist","stringdist","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9.5.5",NA,"R (>= 2.15.3)","parallel",NA,"tinytest",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"stringi","stringi","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.6",NA,"R (>= 2.14)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","3.6.1"
"stringr","stringr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"strucchange","strucchange","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5-2",NA,"R (>= 2.10.0), zoo, sandwich","graphics, stats, utils",NA,"stats4, car, dynlm, e1071, foreach, lmtest, mvtnorm, tseries",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"subplex","subplex","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.6",NA,"R(>= 2.5.1)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"summarytools","summarytools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9.6",NA,"R (>= 2.10)","base64enc, checkmate, dplyr, grDevices, htmltools, lubridate,
magick, matrixStats, methods, pander, pryr, rapportools, stats,
tcltk, tibble, tidyr, utils",NA,"forcats, kableExtra, knitr, magrittr, rmarkdown, rstudioapi",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"SuppDists","SuppDists","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1-9.5",NA,"R (>= 3.3.0)",NA,NA,"RcppZiggurat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"survey","survey","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.0",NA,"R (>= 3.1.0), grid, methods, Matrix, survival","stats, graphics, splines, lattice, minqa, numDeriv, mitools
(>= 2.4)",NA,"foreign, MASS, KernSmooth, hexbin, RSQLite, quantreg,
parallel, CompQuadForm, DBI, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"survival","survival","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.1-11","recommended","R (>= 3.4.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"svglite","svglite","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.3",NA,"R (>= 3.0.0)","Rcpp, gdtools (>= 0.1.6)","Rcpp, gdtools, BH","htmltools, testthat, xml2 (>= 1.0.0), covr, fontquiver (>=
0.2.0), knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"sys","sys","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.3",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"sysfonts","sysfonts","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8",NA,NA,NA,NA,"curl, jsonlite",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"systemfonts","systemfonts","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.1",NA,NA,NA,NA,"testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"tensor","tensor","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.1"
"tensorA","tensorA","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.36.1",NA,"R (>= 2.2.0),stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"tensorflow","tensorflow","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.0",NA,"R (>= 3.1)","config, jsonlite (>= 1.2), processx, reticulate (>= 1.10),
tfruns (>= 1.0), utils, yaml, rstudioapi (>= 0.7)",NA,"testthat, keras, tfestimators",NA,"Apache License 2.0",NA,NA,NA,NA,"no","3.6.1"
"testit","testit","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.11",NA,NA,NA,NA,"rstudioapi",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"testthat","testthat","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.3.2",NA,"R (>= 3.1)","cli, crayon (>= 1.3.4), digest, ellipsis, evaluate, magrittr,
methods, pkgload, praise, R6 (>= 2.2.0), rlang (>= 0.4.1),
withr (>= 2.0.0)",NA,"covr, curl (>= 0.9.5), devtools, knitr, rmarkdown, usethis,
vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"tfruns","tfruns","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4",NA,"R (>= 3.1)","utils, jsonlite (>= 1.2), base64enc, yaml, config, magrittr,
whisker, tidyselect, rlang, rstudioapi (>= 0.7), reticulate",NA,"testthat, knitr",NA,"Apache License 2.0",NA,NA,NA,NA,"no","3.6.1"
"TH.data","TH.data","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0-10",NA,"R (>= 2.10.0), survival, MASS",NA,NA,"dplyr, gdata, plyr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"thief","thief","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3",NA,"R (>= 3.0.2), forecast (>= 7.2)","hts, ggplot2",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"threejs","threejs","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.3",NA,"R (>= 3.0.0), igraph (>= 1.0.0)","htmlwidgets (>= 0.3.2), base64enc, crosstalk, methods, stats",NA,"maps","knitr, shiny","MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"tibble","tibble","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.0.0",NA,"R (>= 3.1.0)","cli, crayon (>= 1.3.4), ellipsis (>= 0.2.0), fansi (>= 0.4.0),
lifecycle (>= 0.2.0), magrittr, methods, pillar (>= 1.4.3),
pkgconfig, rlang (>= 0.4.3), utils, vctrs (>= 0.2.4)",NA,"bench, bit64, blob, covr, dplyr, evaluate, hms, htmltools,
import, knitr, mockr, nycflights13, purrr, rmarkdown, testthat
(>= 2.1.0), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"tictoc","tictoc","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0",NA,"R (>= 3.0.3), methods",NA,NA,NA,NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"tidymodels","tidymodels","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.0",NA,"R (>= 3.1)","broom (>= 0.5.4), cli (>= 2.0.1), crayon (>= 1.3.4), dials (>=
0.0.4), dplyr (>= 0.8.4), ggplot2 (>= 3.2.1), infer (>= 0.5.1),
magrittr (>= 1.5), parsnip (>= 0.0.5), pillar (>= 1.4.3), purrr
(>= 0.3.3), recipes (>= 0.1.9), rlang (>= 0.4.4), rsample (>=
0.0.5), rstudioapi (>= 0.11), tibble (>= 2.1.3), tidytext (>=
0.2.2), tidypredict (>= 0.4.3), tidyposterior (>= 0.0.2), tune
(>= 0.0.1), workflows (>= 0.1.0), yardstick (>= 0.0.4)",NA,"covr, knitr, modeldata (>= 0.0.1), rmarkdown, testthat, xml2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"tidyposterior","tidyposterior","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.0.2",NA,"R (>= 2.10)","rsample (>= 0.0.2), tidyr (>= 0.7.1), dplyr, rstanarm (>=
2.15.3), rlang, utils, purrr, tibble, generics, ggplot2,",NA,"knitr, testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"tidypredict","tidypredict","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.5",NA,"R (>= 3.1)","dplyr (>= 0.7), rlang, purrr, knitr, generics, tibble",NA,"dbplyr, testthat (>= 2.1.0), randomForest, ranger, earth,
rmarkdown, nycflights13, RSQLite, methods, DBI, covr, xgboost,
Cubist, mlbench, partykit, yaml, parsnip",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
